iter	Passed	Remaining
0	1005	1004222
1	1010	504070
2	1013	336871
3	1017	253259
4	1020	203072
5	1023	169635
6	1027	145730
7	1030	127818
8	1034	113888
9	1037	102718
10	1040	93582
11	1044	85976
12	1048	79571
13	1052	74091
14	1055	69312
15	1059	65132
16	1061	61373
17	1063	58019
18	1065	55015
19	1067	52313
20	1069	49866
21	1071	47644
22	1074	45626
23	1076	43765
24	1078	42051
25	1080	40468
26	1082	39001
27	1084	37641
28	1086	36371
29	1088	35190
30	1090	34082
31	1092	33042
32	1094	32065
33	1096	31150
34	1098	30290
35	1100	29472
36	1102	28698
37	1104	27964
38	1106	27270
39	1108	26607
40	1110	25978
41	1112	25379
42	1114	24806
43	1116	24260
44	1118	23738
45	1120	23238
46	1122	22759
47	1124	22304
48	1126	21863
49	1128	21441
50	1130	21035
51	1132	20644
52	1134	20269
53	1136	19907
54	1138	19560
55	1139	19207
56	1140	18867
57	1141	18539
58	1142	18221
59	1143	17914
60	1144	17616
61	1145	17330
62	1146	17051
63	1147	16782
64	1148	16522
65	1149	16268
66	1150	16022
67	1151	15776
68	1152	15545
69	1153	15319
70	1154	15100
71	1155	14887
72	1156	14680
73	1157	14479
74	1158	14283
75	1159	14091
76	1160	13905
77	1161	13723
78	1161	13546
79	1162	13374
80	1163	13205
81	1164	13042
82	1166	12882
83	1167	12726
84	1167	12569
85	1168	12421
86	1169	12272
87	1170	12129
88	1171	11990
89	1172	11854
90	1173	11721
91	1174	11590
92	1175	11463
93	1176	11338
94	1177	11215
95	1178	11095
96	1179	10977
97	1180	10862
98	1181	10750
99	1182	10639
100	1183	10532
101	1183	10422
102	1184	10318
103	1185	10215
104	1186	10115
105	1187	10017
106	1189	9924
107	1190	9831
108	1191	9739
109	1192	9649
110	1194	9563
111	1195	9478
112	1196	9391
113	1197	9305
114	1198	9221
115	1199	9137
116	1200	9056
117	1201	8977
118	1201	8897
119	1202	8820
120	1203	8744
121	1204	8670
122	1205	8593
123	1206	8523
124	1207	8452
125	1208	8382
126	1209	8313
127	1210	8243
128	1211	8177
129	1212	8111
130	1213	8046
131	1214	7983
132	1215	7920
133	1215	7858
134	1216	7797
135	1217	7737
136	1218	7678
137	1219	7618
138	1220	7561
139	1221	7504
140	1222	7449
141	1223	7393
142	1224	7340
143	1225	7287
144	1226	7234
145	1227	7182
146	1228	7130
147	1229	7079
148	1230	7029
149	1231	6980
150	1232	6931
151	1233	6883
152	1234	6835
153	1235	6788
154	1236	6742
155	1237	6696
156	1238	6650
157	1239	6607
158	1241	6564
159	1242	6520
160	1243	6477
161	1243	6434
162	1244	6392
163	1245	6351
164	1246	6310
